,Year2017,Year2018
Men,25,23
Women,20,32
URM,6,7
NonURM,64,59
LabExp1,6,13
LabExp2,11,7
LabExp3,3,3
LabExp4,2,4
LabExp5,17,16
LabExp6,13,3
LabExp7,2,0
Biology,37,47
Chemistry,13,23
Engineering,7,3
Math,4,5
Physics,3,2
ComputerScience,3,3
Other,7,16
BSPH,0,4
BIG,5,3
BBS,61,47
BioP,0,2
ChemBio,1,0
SysBio,0,1
Virology,3,9
NoExp,2,2
MinimalExp,11,10
SomeExp,10,18
ModerateExp,17,19
ExtensiveExp,5,6
Comf1,3,2
Comf2,4,4
Comf3,9,12
Comf4,2,9
Comf5,10,8
Comf6,15,18
Comf7,2,2
